job_name,company_name,city,area_code_name,industry,salary_min,salary_max,salary_avg,degree,head_count,company_size,company_property,major,skills,publish_date,update_date,job_id,recruit_type,source,keyword,degree_clean,degree_level,salary_level,combined_text,skill_keywords,job_direction,is_high_salary
销售工程师（驻地杭州，层析填料销售）,厦门三冀科技有限公司,杭州,浙江,,5000.0,7000.0,6000.0,专科及以上,2,1000-4999人,外商独资/外企代表处,生物、化学、市场营销、工商管理等,五险一金，带薪年假，年终奖，通讯津贴,2026-06-15,2026-06-15,681jbLgQiLDAeqxgy9v3S4,0,国家大学生就业服务平台,工程师,专科及以上,1,5K-8K,销售工程师（驻地杭州，层析填料销售） 生物、化学、市场营销、工商管理等 五险一金，带薪年假，年终奖，通讯津贴 工程师,销售,销售/市场类,0
数据标注工程师,河南鼎洁生物质能源有限公司,杭州,浙江,,5000.0,7000.0,6000.0,专科及以上,10,100-499人,民营企业,机电 自动化 电气 计算机专业优先,,2026-06-15,2026-06-15,3mw7AJzS9aYKJjS8ppCiNS,0,国家大学生就业服务平台,工程师,专科及以上,1,5K-8K,数据标注工程师 机电 自动化 电气 计算机专业优先  工程师,,制造/工程类,0
研发助理工程师,浙江英联锂能新能源科技有限公司,杭州,浙江,,5500.0,8000.0,6750.0,本科及以上,2,100-499人,民营企业,应用化学 化学工程与工艺 材料化学 冶金工程,岗位晋升，技能培训，定期体检，年底双薪，高温补贴，节日礼物，免费加班餐，提供住宿,2026-06-05,2026-06-05,24bZF4VPjrXHGJDU7UrC97,0,国家大学生就业服务平台,工程师,本科及以上,2,5K-8K,研发助理工程师 应用化学 化学工程与工艺 材料化学 冶金工程 岗位晋升，技能培训，定期体检，年底双薪，高温补贴，节日礼物，免费加班餐，提供住宿 工程师,,行政/人力类,0
光伏工程师,杭州昱军新能源科技有限公司,杭州,浙江,,5000.0,9000.0,7000.0,本科及以上,4,1-49人,民营企业,电力专业,五险一金，带薪年假，年底双薪,2026-06-04,2026-06-09,6A4CdayHA6CxS24gqgJQVN,0,国家大学生就业服务平台,工程师,本科及以上,2,5K-8K,光伏工程师 电力专业 五险一金，带薪年假，年底双薪 工程师,,制造/工程类,0
数据标注工程师,杭州洲际云数据科技有限公司,杭州,浙江,,5000.0,6500.0,5750.0,专科及以上,60,100-499人,民营企业,数据科学与大数据技术 计算机信息管理 计算机应用技术 数据标注,,2026-06-03,2026-06-05,Y9crMHB2UpFvPf1rkLfERM,0,国家大学生就业服务平台,工程师,专科及以上,1,5K-8K,数据标注工程师 数据科学与大数据技术 计算机信息管理 计算机应用技术 数据标注  工程师,,制造/工程类,0
光芯片设计工程师,杭州质禾科技有限公司,杭州,浙江,,20000.0,25000.0,22500.0,硕士及以上,2,1-49人,民营企业,光电子 光学 光通讯,五险一金，带薪年假，技能培训，定期体检，年终奖，绩效奖金，年度旅游，零食水果,2026-06-03,2026-06-04,rPgYSA9B4TJ3vCTLsMmaL,0,国家大学生就业服务平台,工程师,硕士及以上,3,20K以上,光芯片设计工程师 光电子 光学 光通讯 五险一金，带薪年假，技能培训，定期体检，年终奖，绩效奖金，年度旅游，零食水果 工程师,设计,制造/工程类,1
销售工程师,杭州西湖电子研究所,杭州,浙江,,5000.0,12000.0,8500.0,本科及以上,5,100-499人,股份制企业,,,2026-06-03,2026-06-04,A6a3sP5oRv8teakoN4tZ72,0,国家大学生就业服务平台,工程师,本科及以上,2,8K-12K,销售工程师   工程师,销售,销售/市场类,0
焊接工艺工程师,浙江富春江水电设备有限公司,杭州,浙江,,10000.0,18000.0,14000.0,本科及以上,2,500-999人,民营企业,焊接技术与工程 金属材料与工程 材料成型及控制工程,五险一金，带薪年假，技能培训，年终奖，专项奖金，午餐补助，住房补助，提供住宿,2026-06-02,2026-06-02,UqR5iXF2ZBF2MTFD9Poj7r,0,国家大学生就业服务平台,工程师,本科及以上,2,12K-20K,焊接工艺工程师 焊接技术与工程 金属材料与工程 材料成型及控制工程 五险一金，带薪年假，技能培训，年终奖，专项奖金，午餐补助，住房补助，提供住宿 工程师,,制造/工程类,1
硅光版图工程师,杭州质禾科技有限公司,杭州,浙江,,15000.0,20000.0,17500.0,硕士及以上,2,1-49人,民营企业,光电子 光学 电子科学与技术,五险一金，带薪年假，技能培训，定期体检，年终奖，绩效奖金，年度旅游，零食水果,2026-06-02,2026-06-05,vjpJL6HC46dgK9jnZQiFu,0,国家大学生就业服务平台,工程师,硕士及以上,3,12K-20K,硅光版图工程师 光电子 光学 电子科学与技术 五险一金，带薪年假，技能培训，定期体检，年终奖，绩效奖金，年度旅游，零食水果 工程师,,制造/工程类,1
电气工程师,浙江富春紫光环保股份有限公司,杭州,浙江,,6000.0,12500.0,9250.0,本科及以上,1,100-499人,股份制企业,电气工程及其自动化 机电一体化 电机与电器等相关专业,,2026-05-29,2026-05-29,XdjMEkxhpjeAk5f8jqaxBr,0,国家大学生就业服务平台,工程师,本科及以上,2,8K-12K,电气工程师 电气工程及其自动化 机电一体化 电机与电器等相关专业  工程师,,制造/工程类,0
